resultId,raceId,driverId,constructorId,number,grid,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapSpeed,status,fastestlaptime_ms
8589,375,105,6,27,5,4,4,3.0,66,\N,\N,\N,\N,+1 Lap,-100
8590,375,118,21,17,9,5,5,2.0,66,\N,\N,\N,\N,+1 Lap,-100
8591,375,158,21,18,7,6,6,1.0,66,\N,\N,\N,\N,+1 Lap,-100
8592,375,145,22,19,8,7,7,0.0,65,\N,\N,\N,\N,+2 Laps,-100
8593,375,123,22,20,11,8,8,0.0,64,\N,\N,\N,\N,+3 Laps,-100
8594,375,114,33,29,22,9,9,0.0,64,\N,\N,\N,\N,+3 Laps,-100
8595,375,140,27,26,24,10,10,0.0,63,\N,\N,\N,\N,+4 Laps,-100
8596,375,159,18,24,25,11,11,0.0,63,\N,\N,\N,\N,+4 Laps,-100
8597,375,166,39,14,19,12,12,0.0,63,\N,\N,\N,\N,+4 Laps,-100
8598,375,165,44,32,26,13,13,0.0,63,\N,\N,\N,\N,+4 Laps,-100
8599,375,99,42,31,21,14,14,0.0,62,\N,\N,\N,\N,+5 Laps,-100
8600,375,160,49,9,18,15,15,0.0,61,\N,\N,\N,\N,+6 Laps,-100
8601,375,122,37,16,10,16,16,0.0,61,\N,\N,\N,\N,+6 Laps,-100
8602,375,137,32,1,4,R,17,0.0,58,\N,\N,\N,\N,Engine,-100
8603,375,110,48,22,12,R,18,0.0,52,\N,\N,\N,\N,Gearbox,-100
8604,375,138,32,2,6,R,19,0.0,27,\N,\N,\N,\N,Engine,-100
8605,375,95,3,5,14,R,20,0.0,20,\N,\N,\N,\N,Engine,-100
8606,375,146,49,10,15,R,21,0.0,16,\N,\N,\N,\N,Engine,-100
8607,375,119,3,6,17,R,22,0.0,16,\N,\N,\N,\N,Engine,-100
8608,375,163,27,25,20,R,23,0.0,13,\N,\N,\N,\N,Accident,-100
8609,375,133,35,36,23,R,24,0.0,13,\N,\N,\N,\N,Brakes,-100
8610,375,127,37,15,16,R,25,0.0,10,\N,\N,\N,\N,Electrical,-100
